English Title	Original Title	Year	Duration(min)	Decade	Country	Director	Director's Gender	Writer	Writer's Gender	DP	DP's Gender	Producer	Producer's Gender	Genre	Wikidata ID	IMDb ID
The Cabbage Fairy	La Fée aux Choux	1896	1	1890s	FRA	Alice Guy-Blaché	female	Alice Guy	female					Family/ Fantasy	Q1139999	tt0223341
A Trip to the Moon	Le Voyage dans la Lune	1902	16	1900s	FRA	Georges Méliès	male	Georges Méliès	male	Lucien Tainguy	male	Georges Méliès	male	Action/ Adventure	Q244971	tt0000417
Life of an American Fireman	Life of an American Fireman	1903	6	1900s	USA	Edwin Stanton Porter/ George S. Fleming	male/ male	Edwin Stanton Porter	male	Edwin Stanton Porter	male			Action	Q1824475	tt0000447
The Great Train Robbery	The Great Train Robbery	1903	12	1900s	USA	Edwin Stanton Porter	male	Edwin Stanton Porter	male			Edwin Stanton Porter	male	Action/ Adventure	Q470329	tt0000439
Rescued by Rover	Rescued by Rover	1905	6	1900s	GBR	Lewin Fitzhamon/ Cecil Hepworth	male/ male	Mrs. Hepworth	female	Cecil Hepworth	male	Cecil Hepworth	male	Crime/ Drama	Q1333248	tt0000498
A Corner in Wheat	A Corner in Wheat	1909	14	1900s	USA	D. W. Griffith	male	D. W. Griffith/ Frank E. Woods	male/ male	Billy Bitzer	male			Crime/ Drama	Q1984935	tt0000832
The Abyss	Afgrunden	1910	38	1910s	DNK	Urban Gad	male	Urban Gad	male	Alfred Lind	male			Drama	Q320483	tt0001105
The Lonedale Operator	The Lonedale Operator	1911	17	1910s	USA	D. W. Griffith	male	Mack Sennett	male	Billy Bitzer	male	D. W. Griffith	male	Drama/ Romance	Q3988072	tt0001740
Fantomas: In the Shadow of the Guillotine	Fantômas	1913	54	1910s	FRA	Louis Feuillade	male	Louis Feuillade	male			Romeo Bosetti	male	Crime/ Drama	Q31208392	tt0002844
Suspense	Suspense	1913	10	1910s	USA	Phillips Smalley/ Lois Weber	male/ female	Lois Weber	female					Drama/ Thriller	Q13652328	tt0003424
Cabiria	Cabiria	1914	168	1910s	ITA	Giovanni Pastrone	male	Gabriele D'Annunzio/ Giovanni Pastrone/ Emilio Salgari	male/ male/ male	Eugenio Bava/ Segundo de Chomón/ Giovanni Tomatis/ Augusto Battagliotti/ Natale Chiusano/ Carlo Franzeri	male/ male/ male/ male/ male/ male	Giovanni Pastrone	male	Adventure/ Drama/ History	Q1024861	tt0003740
The Squaw Man	The Squaw Man	1914	74	1910s	USA	Oscar Apfel/ Cecil B. DeMille	male/ male	Cecil B. DeMille/ Oscar Apfel	male/ male			Cecil B. DeMille	male	Action/ Drama/ Romance	Q2613688	tt0004635
The Birth of a Nation	The Birth of a Nation	1915	187	1910s	USA	D. W. Griffith	male	D. W. Griffith/ Frank E. Woods/ Thomas Dixon Jr.	male/ male/ male	Billy Bitzer	male	D. W. Griffith	male	Drama/ History/ War	Q220394	tt0004972
Carmen	Carmen	1915	59	1910s	USA	Cecil B. DeMille	male	William Churchill deMille	male	Alvin Wyckoff	male	Jesse Louis Lasky	male	Drama	Q1749069	tt0005060
